                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.58065,                 1.1227,                0.47301,                 1.0328,                0.94002,                0.87121,                0.89088,                0.80409,                0.92124,                0.85486,                0.86422,                0.70319,                0.45523,                0.85999,                0.38761,                0.84476,               0.007459,               0.007459,               0.007459
                     80,                0.57835,                 1.1311,                0.47122,                 1.0341,                0.94028,                0.87025,                0.89076,                0.80414,                0.91928,                0.85361,                0.86353,                0.70334,                0.45465,                0.85856,                0.38708,                0.84447,               0.007426,               0.007426,               0.007426
                     81,                0.57678,                 1.1143,                0.46608,                 1.0284,                0.94092,                0.86997,                0.89092,                0.80445,                0.92109,                0.85279,                0.86358,                0.70361,                0.45433,                0.85795,                0.38658,                0.84426,               0.007393,               0.007393,               0.007393
                     82,                0.57387,                 1.1108,                  0.463,                 1.0246,                0.94036,                0.87148,                0.89123,                0.80484,                0.92022,                0.85195,                0.86325,                0.70398,                0.45402,                0.85659,                0.38626,                0.84406,                0.00736,                0.00736,                0.00736
                     83,                0.56791,                  1.098,                0.46016,                 1.0253,                0.94009,                0.87191,                 0.8914,                0.80531,                0.92036,                0.85279,                0.86358,                0.70495,                0.45368,                0.85648,                0.38542,                0.84398,               0.007327,               0.007327,               0.007327
                     84,                0.57231,                 1.1234,                0.47014,                 1.0286,                 0.9398,                0.87217,                0.89131,                0.80556,                 0.9205,                 0.8534,                0.86373,                0.70495,                 0.4529,                0.85615,                 0.3851,                0.84311,               0.007294,               0.007294,               0.007294
                     85,                0.56962,                 1.1091,                0.46794,                 1.0239,                0.94085,                0.87149,                 0.8916,                0.80547,                 0.9222,                0.85367,                0.86401,                0.70567,                 0.4518,                0.85495,                0.38441,                0.84221,               0.007261,               0.007261,               0.007261
                     86,                0.57471,                 1.1078,                0.46851,                 1.0291,                0.94149,                 0.8717,                0.89179,                0.80561,                0.92275,                0.85358,                0.86377,                0.70534,                0.45097,                0.85405,                0.38441,                0.84147,               0.007228,               0.007228,               0.007228
                     87,                0.56663,                 1.0898,                0.45898,                 1.0227,                0.94199,                0.87175,                 0.8921,                0.80572,                0.92243,                0.85333,                0.86378,                0.70534,                0.45032,                0.85298,                0.38393,                 0.8408,               0.007195,               0.007195,               0.007195
                     88,                0.57027,                 1.1149,                0.46634,                 1.0226,                0.94195,                0.87162,                0.89238,                0.80597,                0.92303,                 0.8541,                0.86482,                0.70559,                0.44963,                0.85218,                 0.3837,                0.84032,               0.007162,               0.007162,               0.007162
